DATETIME;PASSED_SECONDS;PASSED_MSECONDS;P_1B;P_1C;FL_M_2A;P_2B;P_2C;P_3B;P_3C;P_4A;P_4B;P_4C;P_5B;P_5C;P_6A;P_6B;P_6C;P_7B;P_7C;P_8A;P_8B;P_8C;P_9B;P_9C;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;LC_1;LC_2;LC_3
2015-10-05 11:00:00;3024;3024967;0.116;-0.003;1.89;0.069;0.006;-0.036;-0.003;0.002;0.008;0.021;-0.022;0.036;0.068;0.149;0.049;-0.087;0.109;0.043;-0.003;0.006;-0.005;-0.047;21.124;21.123;20.944;20.87;21.021;20.984;21.025;21.16;21.306;-91.797;-1.735;129.349
2015-10-05 11:01:00;3084;3084967;0.121;-0.002;1.99;0.083;-0.005;-0.031;0.0;-0.019;-0.011;-0.003;-0.027;0.036;0.095;0.135;0.077;-0.091;0.11;0.039;0.017;0.017;0.007;-0.037;21.126;21.139;20.949;20.858;20.988;20.951;20.992;21.139;21.303;-91.582;-1.639;129.196
2015-10-05 11:02:00;3144;3144967;0.112;-0.001;2.07;0.082;-0.021;-0.025;-0.007;-0.005;-0.007;0.011;-0.002;0.02;0.082;0.134;0.065;-0.093;0.092;0.029;0.004;0.017;-0.018;-0.037;21.109;21.144;20.935;20.848;21.01;20.968;21.005;21.142;21.309;-91.739;-1.693;129.35
2015-10-05 11:03:00;3204;3204967;0.121;-0.007;2.18;0.087;-0.021;-0.048;0.005;-0.016;-0.006;-0.006;-0.027;0.048;0.07;0.12;0.059;-0.104;0.123;0.028;-0.015;0.011;-0.03;-0.068;21.162;21.173;20.967;20.882;21.022;20.987;21.031;21.195;21.345;-91.635;-1.577;129.412
2015-10-05 11:04:00;3264;3264967;0.129;-0.02;2.29;0.099;-0.019;-0.032;0.002;-0.014;0.0;0.032;-0.02;0.063;0.069;0.121;0.069;-0.108;0.096;0.043;-0.009;0.019;-0.021;-0.059;21.157;21.185;20.954;20.882;21.03;20.989;21.035;21.191;21.344;-91.643;-1.522;129.22
2015-10-05 11:05:00;3324;3324967;0.154;-0.022;2.36;0.115;-0.02;-0.029;0.014;-0.027;-0.014;0.001;-0.026;0.049;0.084;0.131;0.072;-0.089;0.089;0.01;-0.028;0.036;-0.034;-0.07;21.106;21.132;20.943;20.843;20.985;20.943;20.996;21.192;21.418;-91.686;-1.566;129.168
2015-10-05 11:06:00;3384;3384967;0.149;-0.007;2.39;0.082;-0.023;-0.023;-0.006;-0.025;0.005;0.003;-0.005;0.06;0.072;0.141;0.074;-0.1;0.107;0.005;0.002;0.031;-0.039;-0.078;21.127;21.196;20.962;20.847;20.963;20.926;20.99;21.184;21.39;-91.603;-1.594;129.173
2015-10-05 11:07:00;3444;3444967;0.157;-0.006;2.42;0.099;-0.001;-0.031;0.01;0.008;-0.021;-0.001;-0.027;0.054;0.072;0.122;0.07;-0.106;0.101;0.013;0.02;0.026;-0.015;-0.091;21.12;21.166;20.949;20.86;20.998;21.009;21.044;21.234;21.472;-91.703;-1.6;129.161
2015-10-05 11:08:00;3504;3504967;0.144;-0.014;2.54;0.11;-0.006;-0.032;-0.011;0.0;-0.016;-0.002;-0.008;0.043;0.065;0.118;0.089;-0.117;0.098;0.022;0.022;0.019;-0.03;-0.084;21.141;21.183;20.958;20.861;21.0;21.004;21.033;21.235;21.488;-91.655;-1.583;129.133
2015-10-05 11:09:00;3564;3564967;0.169;-0.008;2.65;0.108;-0.016;-0.046;0.012;-0.023;-0.034;0.024;-0.026;0.053;0.087;0.121;0.078;-0.104;0.105;0.029;0.005;0.013;-0.026;-0.07;21.171;21.21;20.955;20.852;21.015;21.011;21.04;21.247;21.514;-91.566;-1.723;129.186
2015-10-05 11:10:00;3624;3624967;0.132;0.002;2.7;0.1;-0.028;-0.056;0.018;-0.039;-0.013;0.034;-0.011;0.05;0.062;0.107;0.092;-0.111;0.093;0.02;0.019;0.015;-0.03;-0.076;21.18;21.234;20.984;20.889;21.054;21.02;21.079;21.266;21.512;-91.735;-1.634;129.217
2015-10-05 11:11:00;3684;3684967;0.138;0.004;2.84;0.118;-0.024;-0.038;0.006;-0.021;-0.02;0.007;-0.008;0.062;0.062;0.139;0.092;-0.1;0.107;0.028;0.028;0.022;-0.043;-0.084;21.215;21.258;20.971;20.877;21.073;21.028;21.078;21.289;21.499;-91.725;-1.545;129.153
2015-10-05 11:12:00;3744;3744967;0.15;0.013;2.89;0.107;-0.025;-0.045;0.006;-0.002;-0.01;0.024;-0.026;0.08;0.069;0.143;0.096;-0.103;0.091;0.023;0.006;0.019;-0.032;-0.083;21.212;21.331;21.023;20.918;21.083;21.065;21.115;21.294;21.525;-91.597;-1.628;128.895
2015-10-05 11:13:00;3804;3804967;0.117;-0.003;2.99;0.117;-0.023;-0.044;0.003;-0.025;-0.024;0.011;-0.027;0.073;0.046;0.149;0.112;-0.135;0.088;0.017;0.021;0.032;-0.019;-0.088;21.235;21.356;21.056;20.953;21.118;21.077;21.135;21.308;21.527;-91.709;-1.794;129.013
2015-10-05 11:14:00;3864;3864967;0.155;0.006;3.04;0.106;-0.037;-0.025;0.003;-0.022;-0.035;0.021;-0.024;0.068;0.043;0.142;0.09;-0.117;0.104;-0.002;0.019;0.039;-0.073;-0.107;21.31;21.446;21.108;21.009;21.207;21.136;21.165;21.369;21.537;-91.524;-1.661;129.026
2015-10-05 11:15:00;3924;3924967;0.128;-0.008;3.12;0.115;-0.035;-0.037;0.002;-0.024;-0.033;0.022;-0.023;0.072;0.047;0.138;0.094;-0.122;0.088;0.0;0.045;0.029;-0.058;-0.095;21.301;21.414;21.088;20.99;21.122;21.094;21.137;21.324;21.536;-92.12;-0.692;128.467
2015-10-05 11:16:00;3984;3984967;0.119;0.002;3.2;0.13;-0.03;-0.037;0.018;-0.037;-0.044;0.012;-0.028;0.081;0.056;0.13;0.125;-0.117;0.08;0.008;0.047;0.03;-0.048;-0.089;21.325;21.432;21.123;21.006;21.153;21.103;21.142;21.346;21.531;-92.161;-0.895;128.298
2015-10-05 11:17:00;4044;4044967;0.12;-0.014;3.24;0.139;-0.037;-0.049;0.01;-0.026;-0.025;0.012;-0.012;0.083;0.035;0.117;0.109;-0.135;0.073;-0.009;0.022;0.015;-0.044;-0.113;21.316;21.402;21.123;21.008;21.224;21.171;21.185;21.427;21.644;-97.16;8.515;124.435
2015-10-05 11:18:00;4104;4104967;0.143;-0.01;3.34;0.126;-0.046;-0.06;-0.001;-0.014;-0.046;0.005;-0.036;0.09;0.079;0.119;0.1;-0.121;0.077;-0.009;0.029;0.033;-0.047;-0.094;21.332;21.461;21.153;21.032;21.24;21.14;21.187;21.397;21.629;-93.225;0.937;127.681
2015-10-05 11:19:00;4164;4164967;0.112;-0.013;3.41;0.14;-0.074;-0.049;0.017;-0.03;-0.053;0.006;-0.02;0.075;0.053;0.115;0.095;-0.107;0.077;0.0;0.05;0.035;-0.053;-0.112;21.341;21.447;21.155;21.053;21.236;21.197;21.23;21.469;21.714;-92.605;0.136;127.952
2015-10-05 11:20:00;4224;4224967;0.111;0.004;3.49;0.157;-0.043;-0.056;0.013;-0.037;-0.043;0.005;-0.026;0.071;0.057;0.137;0.096;-0.133;0.107;-0.008;0.069;0.041;-0.061;-0.121;21.392;21.541;21.222;21.072;21.261;21.235;21.231;21.45;21.673;-92.542;-0.02;127.918
2015-10-05 11:21:00;4284;4284967;0.107;-0.003;3.43;0.127;-0.048;-0.045;0.017;-0.029;-0.041;-0.001;-0.024;0.052;0.058;0.112;0.111;-0.137;0.085;-0.001;0.034;0.038;-0.056;-0.131;21.419;21.565;21.201;21.089;21.264;21.234;21.25;21.479;21.69;-92.467;0.047;128.032
2015-10-05 11:22:00;4344;4344967;0.123;-0.001;3.58;0.137;-0.06;-0.042;-0.006;-0.048;-0.068;0.01;-0.023;0.08;0.037;0.126;0.126;-0.123;0.069;-0.022;0.044;0.033;-0.074;-0.105;21.42;21.593;21.237;21.139;21.335;21.287;21.282;21.491;21.72;-95.924;2.88;129.201
2015-10-05 11:23:00;4404;4404967;6.552;6.107;3.76;6.71;5.486;4.378;4.62;-0.039;3.222;3.302;2.241;2.583;1.394;1.407;1.526;0.175;0.149;0.012;0.063;0.059;-0.051;-0.118;23.473;22.32;21.845;21.519;21.59;21.349;21.284;21.483;21.736;491.909;658.606;917.21
2015-10-05 11:24:00;4464;4464967;8.538;8.427;2.21;9.367;7.572;6.635;6.697;-0.051;5.321;5.208;4.284;4.973;3.582;3.638;3.709;2.355;2.303;1.571;1.493;1.74;0.427;0.481;25.202;23.234;23.116;22.743;22.644;22.219;22.111;22.129;22.087;658.119;998.37;1043.11
2015-10-05 11:25:00;4524;4524967;8.417;8.438;0.0;9.446;7.398;6.679;6.609;-0.061;5.179;5.018;4.131;4.901;3.522;3.718;3.646;2.3;2.195;1.572;1.462;1.704;0.391;0.426;25.758;23.721;23.778;23.435;23.277;22.825;22.66;22.624;22.57;844.827;880.448;892.655
2015-10-05 11:26:00;4584;4584967;8.303;8.428;74.87;9.489;7.296;6.714;6.53;-0.044;5.083;4.89;4.03;4.854;3.515;3.809;3.572;2.209;2.092;1.579;1.394;1.676;0.312;0.404;26.023;24.088;24.208;23.886;23.706;23.258;23.085;22.999;22.857;842.015;877.39;887.179
2015-10-05 11:27:00;4644;4644967;8.245;8.433;118.45;9.571;7.235;6.708;6.504;-0.027;4.983;4.788;3.946;4.834;3.512;3.858;3.554;2.174;2.039;1.582;1.319;1.667;0.291;0.391;26.238;24.384;24.541;24.231;24.029;23.584;23.394;23.286;23.119;842.022;877.191;886.095
2015-10-05 11:28:00;4704;4704967;8.211;8.444;151.89;9.641;7.193;6.733;6.503;-0.032;4.938;4.727;3.918;4.839;3.522;3.892;3.532;2.12;1.993;1.579;1.289;1.663;0.287;0.369;26.416;24.589;24.79;24.501;24.301;23.851;23.669;23.524;23.317;841.792;876.905;884.878
2015-10-05 11:29:00;4764;4764967;8.16;8.445;181.84;9.692;7.157;6.738;6.474;-0.027;4.883;4.725;3.87;4.808;3.507;3.92;3.527;2.078;1.945;1.579;1.228;1.648;0.259;0.369;26.545;24.793;25.001;24.724;24.53;24.087;23.91;23.736;23.509;841.397;876.417;883.838
2015-10-05 11:30:00;4824;4824967;8.132;8.437;207.74;9.719;7.139;6.717;6.456;-0.021;4.846;4.67;3.833;4.809;3.473;3.94;3.555;2.058;1.904;1.574;1.219;1.642;0.187;0.36;26.673;24.95;25.192;24.932;24.701;24.289;24.118;23.915;23.655;840.823;875.917;882.638
2015-10-05 11:31:00;4884;4884967;8.117;8.438;230.83;9.707;7.108;6.702;6.45;-0.038;4.803;4.664;3.813;4.81;3.475;3.951;3.481;2.03;1.854;1.565;1.193;1.638;0.174;0.369;26.73;25.075;25.32;25.082;24.865;24.449;24.287;24.061;23.798;840.183;875.189;881.684
2015-10-05 11:32:00;4944;4944967;8.092;8.428;252.86;9.769;7.074;6.705;6.442;-0.028;4.773;4.624;3.785;4.812;3.455;3.96;3.493;2.013;1.833;1.554;1.164;1.63;0.196;0.353;26.779;25.164;25.354;25.224;24.988;24.566;24.405;24.196;23.816;839.375;874.574;880.671
2015-10-05 11:33:00;5004;5004967;8.055;8.433;273.94;9.776;7.071;6.707;6.403;-0.033;4.756;4.624;3.768;4.779;3.467;3.964;3.499;1.996;1.813;1.552;1.132;1.601;0.154;0.344;26.774;25.215;25.46;25.324;25.057;24.668;24.531;24.283;23.921;838.597;873.497;879.557
2015-10-05 11:34:00;5064;5064967;8.023;8.412;293.88;9.787;7.062;6.699;6.398;-0.02;4.725;4.625;3.75;4.784;3.454;3.978;3.478;1.963;1.789;1.551;1.109;1.602;0.174;0.348;26.798;25.273;25.597;25.414;25.158;24.775;24.676;24.395;24.04;838.016;872.566;878.457
2015-10-05 11:35:00;5124;5124967;8.006;8.414;312.65;9.752;7.047;6.696;6.397;-0.001;4.709;4.565;3.736;4.783;3.427;4.006;3.474;1.942;1.76;1.553;1.101;1.593;0.151;0.33;26.896;25.388;25.65;25.497;25.257;24.895;24.788;24.503;24.149;837.09;871.751;877.41
2015-10-05 11:36:00;5184;5184967;8.007;8.391;330.77;9.76;7.012;6.684;6.378;-0.016;4.671;4.582;3.718;4.774;3.416;3.992;3.476;1.935;1.732;1.547;1.099;1.592;0.153;0.33;26.899;25.437;25.724;25.594;25.353;25.0;24.869;24.588;24.186;836.221;870.833;876.266
2015-10-05 11:37:00;5244;5244967;7.979;8.395;348.18;9.726;7.015;6.679;6.344;-0.013;4.682;4.555;3.708;4.787;3.386;3.991;3.474;1.92;1.712;1.528;1.083;1.595;0.1;0.328;27.067;25.546;25.782;25.701;25.452;25.064;24.953;24.626;24.203;835.216;869.755;875.194
2015-10-05 11:38:00;5304;5304967;7.973;8.38;364.98;9.752;7.018;6.652;6.35;-0.01;4.644;4.569;3.702;4.786;3.364;3.996;3.466;1.913;1.694;1.522;1.082;1.573;0.126;0.33;27.018;25.57;25.852;25.757;25.504;25.118;24.996;24.674;24.16;834.362;868.825;873.984
2015-10-05 11:39:00;5364;5364967;7.964;8.36;381.28;9.742;6.996;6.657;6.32;-0.02;4.637;4.548;3.696;4.76;3.367;4.008;3.466;1.895;1.678;1.534;1.055;1.585;0.109;0.31;27.017;25.642;25.879;25.806;25.523;25.218;25.09;24.824;24.367;833.252;867.678;872.773
2015-10-05 11:40:00;5424;5424967;7.952;8.381;397.81;9.756;6.979;6.647;6.313;-0.016;4.614;4.539;3.693;4.757;3.379;4.002;3.465;1.871;1.658;1.515;1.066;1.566;0.096;0.321;27.143;25.737;26.023;25.903;25.617;25.338;25.178;24.912;24.411;832.338;866.685;871.863
2015-10-05 11:41:00;5484;5484967;7.936;8.377;413.42;9.767;6.965;6.654;6.313;-0.006;4.616;4.543;3.695;4.775;3.359;4.011;3.442;1.867;1.632;1.533;1.064;1.58;0.073;0.315;27.174;25.749;25.996;25.933;25.582;25.337;25.222;24.938;24.449;831.378;865.734;870.692
2015-10-05 11:42:00;5544;5544967;7.91;8.365;429.63;9.743;6.95;6.642;6.308;-0.01;4.586;4.517;3.658;4.764;3.33;4.01;3.417;1.867;1.649;1.524;1.049;1.552;0.068;0.32;27.116;25.67;25.99;25.957;25.685;25.379;25.242;25.008;24.468;830.545;864.761;869.74
2015-10-05 11:43:00;5604;5604967;7.891;8.361;444.41;9.73;6.94;6.66;6.298;-0.007;4.609;4.495;3.656;4.727;3.317;4.009;3.445;1.851;1.624;1.511;1.019;1.557;0.072;0.297;27.069;25.452;25.977;25.978;25.724;25.454;25.352;25.068;24.627;829.631;863.737;868.416
2015-10-05 11:44:00;5664;5664967;7.884;8.338;459.16;9.751;6.945;6.632;6.277;-0.032;4.585;4.514;3.647;4.762;3.316;4.02;3.414;1.857;1.612;1.516;1.019;1.572;0.075;0.318;27.119;25.535;26.062;26.059;25.725;25.493;25.428;25.107;24.628;828.666;862.767;867.514
2015-10-05 11:45:00;5724;5724967;7.885;8.348;473.33;9.749;6.917;6.647;6.254;-0.017;4.572;4.496;3.646;4.745;3.328;4.008;3.41;1.843;1.605;1.516;1.005;1.55;0.038;0.286;27.077;25.253;25.988;26.027;25.705;25.519;25.446;25.155;24.677;827.63;861.579;866.399
2015-10-05 11:46:00;5784;5784967;7.857;8.32;487.31;9.755;6.934;6.63;6.236;-0.006;4.566;4.527;3.632;4.738;3.293;4.011;3.403;1.823;1.591;1.515;1.004;1.563;0.064;0.305;27.064;25.14;26.024;26.012;25.744;25.573;25.519;25.193;24.703;826.66;860.542;865.364
2015-10-05 11:47:00;5844;5844967;7.844;8.328;501.09;9.705;6.911;6.623;6.236;-0.009;4.55;4.51;3.614;4.72;3.3;4.023;3.394;1.817;1.591;1.54;0.982;1.553;0.06;0.323;27.077;25.222;26.015;26.085;25.741;25.619;25.513;25.202;24.547;825.724;859.422;864.266
2015-10-05 11:48:00;5904;5904967;7.83;8.324;514.66;9.695;6.913;6.613;6.223;-0.02;4.55;4.491;3.61;4.728;3.288;4.017;3.404;1.835;1.57;1.512;0.989;1.55;0.062;0.314;27.087;25.308;26.012;26.102;25.813;25.673;25.597;25.309;24.731;824.599;858.356;863.401
2015-10-05 11:49:00;5964;5964967;7.835;8.304;527.13;9.691;6.934;6.61;6.195;-0.005;4.55;4.493;3.599;4.74;3.293;4.011;3.412;1.81;1.563;1.548;1.009;1.559;0.052;0.302;27.067;25.423;26.048;26.128;25.842;25.692;25.591;25.329;24.811;823.763;857.461;862.3
2015-10-05 11:50:00;6024;6024967;7.819;8.313;540.44;9.707;6.918;6.597;6.17;-0.006;4.556;4.484;3.581;4.703;3.277;4.025;3.403;1.834;1.556;1.542;0.97;1.54;0.04;0.318;27.065;25.551;26.11;26.163;25.856;25.73;25.659;25.368;24.849;822.767;856.561;861.399
2015-10-05 11:51:00;6084;6084967;7.813;8.304;553.3;9.691;6.896;6.605;6.181;0.005;4.555;4.471;3.572;4.722;3.263;4.045;3.411;1.837;1.536;1.527;0.964;1.551;0.047;0.297;27.051;25.358;26.057;26.113;25.827;25.715;25.692;25.36;24.806;821.948;855.464;860.585
2015-10-05 11:52:00;6144;6144967;7.792;8.296;566.09;9.677;6.878;6.589;6.161;-0.004;4.547;4.471;3.59;4.684;3.256;4.041;3.372;1.795;1.55;1.518;0.967;1.525;0.041;0.284;26.977;25.397;26.09;26.115;25.848;25.764;25.687;25.43;24.805;820.976;854.647;859.546
2015-10-05 11:53:00;6204;6204967;7.78;8.289;578.65;9.688;6.889;6.588;6.146;-0.007;4.54;4.476;3.594;4.677;3.236;4.042;3.392;1.809;1.52;1.526;0.953;1.522;0.069;0.298;27.023;24.958;25.974;26.035;25.725;25.801;25.735;25.458;24.843;819.987;853.65;858.686
2015-10-05 11:54:00;6264;6264967;7.782;8.295;591.13;9.677;6.861;6.596;6.157;0.01;4.542;4.465;3.569;4.68;3.246;4.056;3.367;1.815;1.523;1.541;0.972;1.513;0.036;0.291;27.073;25.054;26.064;26.143;25.795;25.845;25.775;25.453;24.841;819.077;852.748;857.64
2015-10-05 11:55:00;6324;6324967;7.753;8.277;603.41;9.677;6.872;6.561;6.143;0.006;4.524;4.44;3.545;4.676;3.246;4.039;3.366;1.788;1.518;1.54;0.966;1.509;0.041;0.28;27.13;25.221;26.139;26.209;25.863;25.849;25.745;25.365;24.667;818.118;851.845;856.767
2015-10-05 11:56:00;6384;6384967;7.757;8.276;615.57;9.646;6.832;6.564;6.125;-0.01;4.514;4.466;3.572;4.681;3.225;4.036;3.363;1.785;1.525;1.551;0.957;1.531;0.028;0.289;27.125;25.301;26.207;26.289;25.98;25.894;25.813;25.429;24.74;817.12;850.833;855.734
2015-10-05 11:57:00;6444;6444967;7.757;8.27;627.7;9.606;6.835;6.554;6.125;-0.011;4.509;4.444;3.557;4.669;3.224;4.014;3.351;1.785;1.51;1.516;0.939;1.52;0.044;0.269;27.049;25.283;26.117;26.25;25.956;25.879;25.83;25.417;24.805;816.21;850.068;855.01
2015-10-05 11:58:00;6504;6504967;7.733;8.254;639.53;9.618;6.838;6.551;6.097;0.018;4.503;4.424;3.523;4.658;3.219;4.015;3.357;1.794;1.516;1.528;0.941;1.504;0.041;0.284;27.06;25.169;26.166;26.232;25.933;25.902;25.869;25.476;24.906;815.101;848.831;854.031
2015-10-05 11:59:00;6564;6564967;7.729;8.259;651.16;9.591;6.803;6.545;6.075;0.0;4.495;4.426;3.53;4.653;3.226;4.015;3.344;1.772;1.493;1.54;0.928;1.503;0.039;0.28;27.045;25.437;26.181;26.291;25.951;25.906;25.869;25.532;24.929;814.551;848.284;853.352
2015-10-05 12:00:00;6624;6624967;7.728;8.25;662.83;9.586;6.797;6.516;6.067;0.008;4.487;4.39;3.527;4.663;3.199;4.009;3.357;1.801;1.513;1.514;0.923;1.496;0.009;0.301;27.0;25.364;26.133;26.28;25.956;25.925;25.88;25.574;25.018;813.537;847.331;852.485
2015-10-05 12:01:00;6684;6684967;7.696;8.238;674.15;9.59;6.788;6.511;6.046;-0.013;4.494;4.416;3.54;4.646;3.203;4.011;3.338;1.773;1.493;1.498;0.89;1.495;0.006;0.291;27.005;25.34;26.146;26.266;25.965;25.934;25.924;25.573;25.057;812.248;846.015;851.124
2015-10-05 12:02:00;6744;6744967;7.706;8.225;685.31;9.557;6.77;6.492;6.038;-0.004;4.471;4.375;3.525;4.614;3.201;4.018;3.303;1.752;1.502;1.519;0.896;1.494;0.002;0.258;26.939;25.143;26.031;26.15;25.941;25.941;25.915;25.52;24.979;810.667;844.342;849.596
2015-10-05 12:03:00;6804;6804967;7.684;8.204;696.29;9.523;6.76;6.468;6.024;0.002;4.457;4.372;3.509;4.608;3.2;4.001;3.323;1.75;1.497;1.522;0.902;1.493;0.042;0.291;26.925;25.245;26.068;26.222;25.921;25.938;25.884;25.468;24.869;809.275;842.557;847.778
2015-10-05 12:04:00;6864;6864967;7.654;8.198;706.89;9.499;6.757;6.457;6.0;0.021;4.445;4.369;3.497;4.599;3.175;4.001;3.308;1.772;1.499;1.524;0.903;1.488;0.008;0.288;26.943;25.125;26.08;26.214;25.919;26.01;26.0;25.543;24.92;807.486;840.838;846.173
2015-10-05 12:05:00;6924;6924967;7.638;8.17;717.51;9.473;6.728;6.462;5.985;0.009;4.42;4.352;3.468;4.578;3.175;4.016;3.323;1.761;1.483;1.523;0.894;1.483;0.03;0.304;27.068;25.242;26.243;26.32;25.981;26.017;25.99;25.505;24.785;805.824;838.813;844.268
2015-10-05 12:06:00;6984;6984967;7.603;8.177;728.19;9.468;6.702;6.447;5.953;0.007;4.433;4.327;3.471;4.58;3.177;4.013;3.304;1.75;1.492;1.508;0.881;1.478;0.01;0.266;27.081;25.263;26.272;26.345;26.007;26.007;25.962;25.489;24.729;804.354;837.355;842.738
2015-10-05 12:07:00;7044;7044967;7.618;8.141;738.52;9.441;6.683;6.433;5.946;-0.003;4.419;4.331;3.457;4.56;3.167;4.003;3.274;1.734;1.487;1.506;0.897;1.472;-0.001;0.296;27.117;25.416;26.285;26.395;25.971;26.047;25.951;25.549;24.948;803.701;836.49;841.82
2015-10-05 12:08:00;7104;7104967;7.623;8.137;748.49;9.451;6.703;6.456;5.957;-0.014;4.432;4.333;3.458;4.56;3.162;3.996;3.295;1.757;1.497;1.515;0.885;1.462;-0.005;0.272;27.079;25.508;26.304;26.445;26.066;26.044;26.021;25.632;24.986;803.259;835.992;841.35
2015-10-05 12:09:00;7164;7164967;7.611;8.15;758.35;9.438;6.692;6.43;5.929;-0.007;4.399;4.332;3.456;4.549;3.147;3.962;3.274;1.746;1.467;1.516;0.882;1.473;0.009;0.281;27.015;25.615;26.278;26.429;26.102;26.035;26.008;25.65;25.004;802.808;835.185;840.671
2015-10-05 12:10:00;7224;7224967;7.611;8.15;767.92;9.441;6.696;6.417;5.939;0.009;4.418;4.352;3.43;4.544;3.141;3.946;3.259;1.754;1.449;1.518;0.875;1.458;0.004;0.287;26.961;25.238;26.128;26.287;25.883;26.036;26.006;25.684;25.024;803.132;835.468;840.773
2015-10-05 12:11:00;7284;7284967;7.616;8.154;777.63;9.44;6.712;6.441;5.958;0.017;4.424;4.352;3.438;4.586;3.147;3.967;3.253;1.731;1.478;1.523;0.91;1.448;0.022;0.285;27.0;25.295;26.187;26.324;25.931;26.023;25.978;25.652;24.96;804.136;836.372;841.725
2015-10-05 12:12:00;7344;7344967;7.63;8.165;786.9;9.465;6.705;6.458;5.954;0.01;4.431;4.352;3.462;4.556;3.147;3.983;3.262;1.732;1.472;1.527;0.913;1.449;0.042;0.275;27.002;25.256;26.21;26.372;26.002;26.023;26.014;25.589;24.881;804.957;837.192;842.525
2015-10-05 12:13:00;7404;7404967;7.639;8.177;796.1;9.464;6.721;6.451;5.964;-0.003;4.447;4.377;3.468;4.558;3.148;4.002;3.263;1.739;1.477;1.519;0.906;1.458;0.017;0.288;26.996;25.359;26.205;26.434;25.968;26.085;26.071;25.671;25.001;805.163;837.227;842.724
2015-10-05 12:14:00;7464;7464967;7.645;8.152;805.25;9.45;6.709;6.439;5.978;0.013;4.434;4.375;3.477;4.556;3.165;3.992;3.241;1.735;1.492;1.536;0.898;1.444;0.0;0.258;27.026;25.277;26.269;26.385;26.022;26.062;26.045;25.59;24.803;804.19;836.119;841.668
2015-10-05 12:15:00;7524;7524967;7.609;8.165;814.25;9.432;6.698;6.437;5.946;0.014;4.419;4.348;3.454;4.537;3.138;3.998;3.248;1.729;1.484;1.546;0.911;1.432;0.003;0.263;26.973;25.461;26.277;26.365;26.038;26.023;26.033;25.589;24.889;803.011;834.733;840.304
2015-10-05 12:16:00;7584;7584967;7.603;8.157;823.15;9.427;6.704;6.433;5.935;0.003;4.404;4.317;3.459;4.555;3.125;3.983;3.262;1.751;1.471;1.534;0.895;1.428;0.007;0.25;27.0;25.653;26.304;26.416;25.955;26.073;25.959;25.674;24.932;801.937;833.689;839.259
2015-10-05 12:17:00;7644;7644967;7.583;8.144;831.88;9.394;6.673;6.414;5.911;-0.008;4.392;4.304;3.439;4.541;3.116;3.967;3.23;1.723;1.44;1.521;0.899;1.427;-0.011;0.253;27.002;25.834;26.33;26.427;26.089;26.088;26.023;25.715;24.999;800.846;832.299;837.866
2015-10-05 12:18:00;7704;7704967;7.596;8.137;840.61;9.376;6.679;6.399;5.91;-0.011;4.379;4.337;3.434;4.535;3.107;3.953;3.235;1.697;1.457;1.506;0.915;1.42;-0.005;0.255;26.947;25.652;26.261;26.418;26.103;26.066;26.015;25.649;24.979;800.12;831.432;837.087
2015-10-05 12:19:00;7764;7764967;7.56;8.134;849.09;9.37;6.677;6.377;5.909;0.013;4.379;4.305;3.428;4.55;3.115;3.96;3.248;1.7;1.452;1.511;0.889;1.411;0.004;0.258;26.956;25.56;26.265;26.453;26.072;26.064;26.065;25.693;25.064;799.114;830.368;835.988
2015-10-05 12:20:00;7824;7824967;7.553;8.131;857.59;9.361;6.655;6.401;5.882;0.011;4.378;4.318;3.431;4.514;3.104;3.954;3.217;1.711;1.448;1.494;0.88;1.397;0.004;0.251;26.942;25.396;26.253;26.434;26.076;26.082;26.058;25.723;25.04;798.314;829.513;835.134
2015-10-05 12:21:00;7884;7884967;7.547;8.099;865.83;9.36;6.648;6.361;5.902;0.006;4.368;4.308;3.419;4.52;3.083;3.957;3.231;1.707;1.463;1.485;0.887;1.427;0.004;0.252;26.927;25.305;26.216;26.365;26.036;26.104;26.109;25.734;25.063;797.104;828.317;834.174
2015-10-05 12:22:00;7944;7944967;7.536;8.091;874.15;9.331;6.64;6.389;5.868;0.01;4.36;4.277;3.401;4.505;3.097;3.975;3.228;1.699;1.444;1.494;0.897;1.409;0.01;0.236;26.874;25.348;26.205;26.423;26.06;26.142;26.1;25.754;25.12;796.181;827.443;833.008
2015-10-05 12:23:00;8004;8004967;7.523;8.086;882.3;9.345;6.643;6.351;5.868;0.005;4.331;4.305;3.402;4.5;3.083;3.963;3.237;1.684;1.441;1.496;0.885;1.405;-0.004;0.267;26.89;25.265;26.209;26.433;26.086;26.151;26.093;25.704;25.068;795.516;826.587;832.267
2015-10-05 12:24:00;8064;8064967;7.515;8.086;890.37;9.311;6.63;6.35;5.856;0.003;4.326;4.298;3.411;4.508;3.094;3.93;3.222;1.717;1.449;1.476;0.9;1.403;-0.014;0.254;26.876;25.258;26.191;26.369;26.005;26.117;26.09;25.681;25.076;794.87;825.665;831.6
2015-10-05 12:25:00;8124;8124967;7.505;8.087;898.37;9.314;6.633;6.354;5.849;-0.003;4.345;4.264;3.393;4.496;3.079;3.948;3.223;1.683;1.424;1.481;0.885;1.388;-0.014;0.261;26.843;25.22;26.167;26.378;26.001;26.075;26.071;25.688;25.078;794.601;825.416;831.064
